"","phylum","class","genus"
"OTU114","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Ralstonia"
"OTU115","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Methylophilaceae;Methylovorus"
"OTU116","Bacteria;Chloroflexi","Bacteria;Chloroflexi;Anaerolineae","Bacteria;Chloroflexi;Anaerolineae;SBR1031;NA;NA"
"OTU117","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium"
"OTU118","Bacteria;Firmicutes","Bacteria;Firmicutes;Bacilli","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus"
"OTU119","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Rhodocyclaceae;NA"
"OTU120","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Ga0077536;NA;NA"
"OTU121","Bacteria;Firmicutes","Bacteria;Firmicutes;Bacilli","Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus"
"OTU122","Bacteria;Firmicutes","Bacteria;Firmicutes;Clostridia","Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI;Helcococcus"
"OTU123","Bacteria;Firmicutes","Bacteria;Firmicutes;Bacilli","Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus"
"OTU124","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Asticcacaulis"
"OTU125","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter"
"OTU126","Bacteria;Bacteroidetes","Bacteria;Bacteroidetes;Bacteroidia","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas"
"OTU127","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Methylophilaceae;NA"
"OTU128","Bacteria;Bacteroidetes","Bacteria;Bacteroidetes;Bacteroidia","Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Crocinitomicaceae;Fluviicola"
"OTU129","Bacteria;Acidobacteria","Bacteria;Acidobacteria;Acidobacteriia","Bacteria;Acidobacteria;Acidobacteriia;Solibacterales;Solibacteraceae (Subgroup 3);Paludibaculum"
"OTU130","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Roseomonas"
"OTU131","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Salinisphaerales;Solimonadaceae;Nevskia"
"OTU132","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylobacterium"
"OTU133","Unclassified;NA","Unclassified;NA;NA","Unclassified;NA;NA;NA;NA;NA"
"OTU134","Bacteria;Bacteroidetes","Bacteria;Bacteroidetes;Bacteroidia","Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;NS11-12 marine group;NA"
"OTU135","Bacteria;Bacteroidetes","Bacteria;Bacteroidetes;Bacteroidia","Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;uncultured"
"OTU136","Unclassified;NA","Unclassified;NA;NA","Unclassified;NA;NA;NA;NA;NA"
"OTU137","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Deltaproteobacteria","Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio"
"OTU138","Bacteria;Bacteroidetes","Bacteria;Bacteroidetes;Bacteroidia","Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium"
"OTU139","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Chromobacteriaceae;Pseudogulbenkiania"
"OTU140","Bacteria;Verrucomicrobia","Bacteria;Verrucomicrobia;Verrucomicrobiae","Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;NA"
"OTU141","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;NA;NA;NA"
"OTU142","Bacteria;Actinobacteria","Bacteria;Actinobacteria;Actinobacteria","Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;NA"
"OTU143","Bacteria;Bacteroidetes","Bacteria;Bacteroidetes;Bacteroidia","Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Spirosomaceae;Emticicia"
"OTU144","Bacteria;Firmicutes","Bacteria;Firmicutes;Clostridia","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1;Clostridium sensu stricto 10"
"OTU145","Bacteria;Bacteroidetes","Bacteria;Bacteroidetes;Bacteroidia","Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium"
"OTU146","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium"
"OTU147","Bacteria;Bacteroidetes","Bacteria;Bacteroidetes;Bacteroidia","Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Spirosomaceae;Pseudarcicella"
"OTU148","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;NA"
"OTU149","Bacteria;Firmicutes","Bacteria;Firmicutes;Bacilli","Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus"
"OTU150","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Chromobacteriaceae;NA"
"OTU151","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Undibacterium"
"OTU152","Bacteria;Bacteroidetes","Bacteria;Bacteroidetes;Bacteroidia","Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Amoebophilaceae;uncultured"
"OTU153","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Methylophilaceae;NA"
"OTU154","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;uncultured;NA"
"OTU155","Bacteria;Firmicutes","Bacteria;Firmicutes;Bacilli","Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus"
"OTU156","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Massilia"
"OTU157","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Deltaproteobacteria","Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio"
"OTU158","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Burkholderia-Caballeronia-Paraburkholderia"
"OTU159","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Deltaproteobacteria","Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio"
"OTU160","Bacteria;Firmicutes","Bacteria;Firmicutes;Bacilli","Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus"
"OTU161","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;AAP99"
"OTU162","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Enhydrobacter"
"OTU163","Unclassified;NA","Unclassified;NA;NA","Unclassified;NA;NA;NA;NA;NA"
"OTU164","Bacteria;Patescibacteria","Bacteria;Patescibacteria;Saccharimonadia","Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;NA;NA"
"OTU165","Bacteria;Bacteroidetes","Bacteria;Bacteroidetes;Bacteroidia","Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Spirosomaceae;Arsenicibacter"
"OTU166","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Variovorax"
"OTU167","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Ideonella"
"OTU168","Bacteria;Acidobacteria","Bacteria;Acidobacteria;Acidobacteriia","Bacteria;Acidobacteria;Acidobacteriia;Solibacterales;Solibacteraceae (Subgroup 3);NA"
"OTU169","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium"
"OTU170","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylobacterium"
"OTU171","Bacteria;Firmicutes","Bacteria;Firmicutes;Bacilli","Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus"
"OTU172","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium"
"OTU173","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Deltaproteobacteria","Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Archangiaceae;Anaeromyxobacter"
"OTU174","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Burkholderia-Caballeronia-Paraburkholderia"
"OTU175","Bacteria;Firmicutes","Bacteria;Firmicutes;Bacilli","Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Leuconostoc"
"OTU176","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium"
"OTU177","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Xanthobacter"
"OTU178","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Deltaproteobacteria","Bacteria;Proteobacteria;Deltaproteobacteria;Oligoflexales;Oligoflexaceae;uncultured"
"OTU179","Bacteria;Firmicutes","Bacteria;Firmicutes;Clostridia","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1;Clostridium sensu stricto 1"
"OTU180","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;NA"
"OTU181","Bacteria;Firmicutes","Bacteria;Firmicutes;Bacilli","Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus"
"OTU182","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Deltaproteobacteria","Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio"
"OTU183","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;Azospirillales;Azospirillaceae;Azospirillum"
"OTU184","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Comamonas"
"OTU185","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Pleomorphomonadaceae;NA"
"OTU186","Bacteria;Bacteroidetes","Bacteria;Bacteroidetes;Bacteroidia","Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium"
"OTU187","Bacteria;Bacteroidetes","Bacteria;Bacteroidetes;Bacteroidia","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 9"
"OTU188","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;uncultured"
"OTU189","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Cupriavidus"
"OTU190","Bacteria;Firmicutes","Bacteria;Firmicutes;Bacilli","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus"
"OTU191","Unclassified;NA","Unclassified;NA;NA","Unclassified;NA;NA;NA;NA;NA"
"OTU192","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;Micropepsales;Micropepsaceae;uncultured"
"OTU193","Bacteria;Firmicutes","Bacteria;Firmicutes;Bacilli","Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus"
"OTU194","Bacteria;Gemmatimonadetes","Bacteria;Gemmatimonadetes;Gemmatimonadetes","Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;uncultured"
"OTU195","Bacteria;Bacteroidetes","Bacteria;Bacteroidetes;Bacteroidia","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides"
"OTU196","Bacteria;Firmicutes","Bacteria;Firmicutes;Bacilli","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus"
"OTU197","Bacteria;Verrucomicrobia","Bacteria;Verrucomicrobia;Verrucomicrobiae","Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Prosthecobacter"
"OTU198","Bacteria;Bacteroidetes","Bacteria;Bacteroidetes;Bacteroidia","Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;KD3-93;NA"
"OTU199","Bacteria;Firmicutes","Bacteria;Firmicutes;Clostridia","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium"
"OTU200","Bacteria;Firmicutes","Bacteria;Firmicutes;Bacilli","Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus"
"OTU201","Bacteria;Acidobacteria","Bacteria;Acidobacteria;Holophagae","Bacteria;Acidobacteria;Holophagae;Holophagales;Holophagaceae;NA"
"OTU202","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Dyella"
"OTU203","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Deltaproteobacteria","Bacteria;Proteobacteria;Deltaproteobacteria;Oligoflexales;0319-6G20;NA"
"OTU204","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas"
"OTU205","Bacteria;Firmicutes","Bacteria;Firmicutes;Bacilli","Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus"
"OTU206","Bacteria;Firmicutes","Bacteria;Firmicutes;Bacilli","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Oceanobacillus"
"OTU207","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Massilia"
"OTU208","Bacteria;Firmicutes","Bacteria;Firmicutes;Bacilli","Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae;Brochothrix"
"OTU209","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Bosea"
"OTU210","Unclassified;NA","Unclassified;NA;NA","Unclassified;NA;NA;NA;NA;NA"
"OTU211","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Cellvibrio"
"OTU212","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Aquabacterium"
"OTU213","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Chromobacteriaceae;Pseudogulbenkiania"
"OTU214","Bacteria;Firmicutes","Bacteria;Firmicutes;Bacilli","Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Carnobacterium"
"OTU215","Bacteria;Bacteroidetes","Bacteria;Bacteroidetes;Bacteroidia","Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium"
"OTU216","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Devosiaceae;Devosia"
"OTU217","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas"
"OTU218","Bacteria;Bacteroidetes","Bacteria;Bacteroidetes;Bacteroidia","Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;env.OPS 17;NA"
"OTU219","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Massilia"
"OTU220","Bacteria;Firmicutes","Bacteria;Firmicutes;Bacilli","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus"
"OTU221","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter"
"OTU222","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;NA;NA"
"OTU223","Bacteria;Firmicutes","Bacteria;Firmicutes;Bacilli","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus"
"OTU224","Bacteria;Firmicutes","Bacteria;Firmicutes;Bacilli","Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus"
"OTU225","Bacteria;Bacteroidetes","Bacteria;Bacteroidetes;Bacteroidia","Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Spirosomaceae;NA"
"OTU226","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas"
"OTU227","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Tolumonas"
"OTU228","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Pelomonas"
"OTU229","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Deltaproteobacteria","Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;P3OB-42;NA"
"OTU230","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;uncultured;NA"
"OTU231","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Cronobacter"
"OTU232","Bacteria;Firmicutes","Bacteria;Firmicutes;Clostridia","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1;Clostridium sensu stricto 10"
"OTU233","Bacteria;Firmicutes","Bacteria;Firmicutes;Clostridia","Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Paraclostridium"
"OTU234","Bacteria;Verrucomicrobia","Bacteria;Verrucomicrobia;Verrucomicrobiae","Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;NA"
"OTU235","Bacteria;Bacteroidetes","Bacteria;Bacteroidetes;Bacteroidia","Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;env.OPS 17;NA"
"OTU236","Bacteria;Gemmatimonadetes","Bacteria;Gemmatimonadetes;Gemmatimonadetes","Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas"
"OTU237","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Deltaproteobacteria","Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae;Bacteriovorax"
"OTU238","Bacteria;Armatimonadetes","Bacteria;Armatimonadetes;Fimbriimonadia","Bacteria;Armatimonadetes;Fimbriimonadia;Fimbriimonadales;Fimbriimonadaceae;NA"
"OTU239","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Dyella"
"OTU240","Bacteria;Actinobacteria","Bacteria;Actinobacteria;Actinobacteria","Bacteria;Actinobacteria;Actinobacteria;Frankiales;Frankiaceae;Jatrophihabitans"
"OTU241","Bacteria;Firmicutes","Bacteria;Firmicutes;Bacilli","Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Macrococcus"
"OTU242","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Deltaproteobacteria","Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio"
"OTU243","Bacteria;Verrucomicrobia","Bacteria;Verrucomicrobia;Verrucomicrobiae","Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Verrucomicrobium"
"OTU244","Bacteria;Bacteroidetes","Bacteria;Bacteroidetes;Bacteroidia","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides"
"OTU245","Bacteria;Patescibacteria","Bacteria;Patescibacteria;Saccharimonadia","Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;NA;NA"
"OTU246","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;NA;NA"
"OTU247","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Curvibacter"
"OTU248","Bacteria;Firmicutes","Bacteria;Firmicutes;Bacilli","Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus"
"OTU249","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Rhodocyclaceae;Dechloromonas"
"OTU250","Bacteria;Bacteroidetes","Bacteria;Bacteroidetes;Bacteroidia","Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;NA"
"OTU251","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Deltaproteobacteria","Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;P3OB-42;NA"
"OTU252","Bacteria;Bacteroidetes","Bacteria;Bacteroidetes;Bacteroidia","Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;env.OPS 17;NA"
"OTU253","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Schlegelella"
"OTU254","Bacteria;Chloroflexi","Bacteria;Chloroflexi;Anaerolineae","Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;RBG-16-58-14"
"OTU255","Bacteria;Proteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Bradyrhizobium"
"OTU256","Bacteria;Gemmatimonadetes","Bacteria;Gemmatimonadetes;Gemmatimonadetes","Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;uncultured"
